source_id	derivative_id	subject_id	session_id	output_num	output_size	nifti_num	nifti_size	html_num
ds006190	tedana-24.0.2	sub-24053	ses-1	378	3408008739	48	3330105906	4
ds006190	tedana-24.0.2	sub-24630	ses-1	460	3231973330	48	3129683557	4
ds006190	tedana-24.0.2	sub-24663	ses-1	386	2811867420	48	2735329161	4
ds006190	tedana-24.0.2	sub-24683	ses-1	403	3062906403	48	2979031517	4
ds006190	tedana-24.0.2	sub-24684	ses-1	462	3875986794	48	3768257196	4
ds006190	tedana-24.0.2	sub-24696	ses-1	450	3187700862	48	3091493010	4
ds006190	tedana-24.0.2	sub-24697	ses-1	415	3262337465	48	3174636399	4
ds006190	tedana-24.0.2	sub-24699	ses-1	458	3818942499	48	3712686249	4
ds006190	tedana-24.0.2	sub-24702	ses-1	416	2932235936	48	2848065020	4
ds006190	tedana-24.0.2	sub-60295	ses-1	385	2970093114	48	2894841209	4
ds006190	tedana-24.0.2	sub-PILOT01	ses-1	377	2626531130	48	2550388017	4
ds006190	tedana-24.0.2	sub-PILOT02	ses-1	451	3386621579	48	3283534945	4
